fingerprint,macs
3149ead31077f67e155672b370b636bf,"['02:c7:d5:a3:43:91', '02:6e:8b:a2:78:57', '02:6e:8b:a2:78:57', '02:7e:ad:54:48:72', '02:7d:cd:30:77:43', '02:22:a6:af:39:c4', '02:df:12:bd:0d:4b', '02:df:12:bd:0d:4b', '02:5b:cd:b1:67:e4', '02:3a:bf:d2:47:ff', '02:d1:07:ef:43:24', '02:54:d1:48:d6:fd', '02:65:ad:e5:32:2d', '02:65:ad:e5:32:2d', '02:65:ad:e5:32:2d', '02:65:ad:e5:32:2d', '02:65:ad:e5:32:2d', '02:19:bc:b5:b3:5d', '02:19:bc:b5:b3:5d', '02:4e:ca:1e:36:42', '02:4e:ca:1e:36:42', '02:86:71:57:ae:5a', '02:86:71:57:ae:5a', '02:27:dd:52:56:6e']"
91d25aca837ad611b3dd23401271b661,"['02:c7:d5:a3:43:91', '02:6e:8b:a2:78:57', '02:22:a6:af:39:c4', '02:d1:07:ef:43:24', '02:54:d1:48:d6:fd', '02:19:bc:b5:b3:5d', '02:27:dd:52:56:6e']"
d3f6daa3f9f781a84d4d506fffb471f2,"['02:6e:8b:a2:78:57', '02:7d:cd:30:77:43', '02:df:12:bd:0d:4b', '02:5b:cd:b1:67:e4', '02:3a:bf:d2:47:ff', '02:65:ad:e5:32:2d', '02:4e:ca:1e:36:42', '02:86:71:57:ae:5a', '02:86:71:57:ae:5a', '02:27:dd:52:56:6e', '02:27:dd:52:56:6e']"
2a177b198ea356f3a4130479bda1386b,"['02:7e:ad:54:48:72', '02:22:a6:af:39:c4', '02:22:a6:af:39:c4', '02:d1:07:ef:43:24', '02:19:bc:b5:b3:5d', '02:86:71:57:ae:5a', '02:27:dd:52:56:6e', '02:27:dd:52:56:6e']"
65a77550defe113b7fef91f41e6ac2cd,"['02:df:12:bd:0d:4b', '02:d1:07:ef:43:24', '02:54:d1:48:d6:fd', '02:19:bc:b5:b3:5d', '02:4e:ca:1e:36:42']"
e05d6a8504ba9701ae62c68586aa7826,"['02:54:d1:48:d6:fd', '02:19:bc:b5:b3:5d', '02:4e:ca:1e:36:42', '02:4e:ca:1e:36:42', '02:86:71:57:ae:5a']"
9aba3c78fe45e5245e96b600bbf19fb6,"['02:bd:d2:51:cc:fa', '02:b1:2a:7d:4d:87', '02:f7:95:53:0c:12', '02:1f:66:b5:f7:9a', '02:35:10:db:4e:27', '02:fe:ca:f0:52:fe', '02:61:61:b5:34:7e', '02:89:7a:1c:f8:70', '02:ba:41:88:49:51', '02:d3:40:7e:30:39', '02:93:61:d6:df:7b', '02:1b:13:c0:50:02', '02:22:2c:f8:7a:89', '02:7e:06:07:94:28', '02:4f:9c:e9:a2:71', '02:f0:c8:28:30:a9', '02:b7:1a:62:8b:3c', '02:0e:13:7f:49:88', '02:e4:e8:1e:70:cf', '02:72:94:00:92:13', '02:35:ae:60:40:98', '02:76:3b:b0:52:80', '02:70:45:f5:91:69', '02:6c:97:28:f2:d3']"
f9def8758360df3ebfba6030eaae4341,"['02:99:f9:60:11:83', '02:99:f9:60:11:83', '02:99:f9:60:11:83', '02:99:f9:60:11:83', '02:99:f9:60:11:83', '02:77:92:41:76:32', '02:77:92:41:76:32', '02:77:92:41:76:32', '02:77:92:41:76:32', '02:77:92:41:76:32', '02:1a:76:c0:86:8f', '02:1a:76:c0:86:8f', '02:1a:76:c0:86:8f', '02:1a:76:c0:86:8f', '02:1a:76:c0:86:8f']"
